DateTime,Upload,Download,
3/10/2020 21:55,2207311,25036145,
3/10/2020 21:55,29,38,
3/10/2020 21:55,7,11,
3/10/2020 21:55,8,22,
3/10/2020 21:55,14,96,
3/10/2020 21:55,6,86,
3/10/2020 21:55,3,8,
3/10/2020 21:55,2,2,
3/10/2020 21:55,2,3,
3/10/2020 21:55,7,28,
3/10/2020 21:55,3,4,
3/10/2020 21:55,1,3,
3/10/2020 21:55,1,3,
3/10/2020 21:55,15,89,
3/10/2020 21:55,12,125,
3/10/2020 21:55,2,4,
3/10/2020 21:55,1,9,
3/10/2020 21:55,3,9,
3/10/2020 21:55,6,14,
3/10/2020 21:55,6,6,
3/10/2020 21:56,5,35,
3/10/2020 21:56,18,600,
3/10/2020 21:56,1,9,
3/10/2020 21:56,41,1438,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
