DateTime,Upload,Download
01:20,1653530,68214713
01:20,3,1
01:20,0,0
01:20,21,2
01:20,3,16
01:20,4,3
01:20,17,10
01:20,0,5
01:20,19,3
01:20,3,3
01:20,3,45
01:20,14,6
01:20,0,0
01:20,0,0
01:20,5,3
01:20,6,5
01:20,0,5
01:20,4,4
01:20,31,12
01:20,3,10
01:20,6,13
01:20,2,4
01:20,4,0
01:20,22,9
01:20,2,1
01:20,2,0
01:20,5,89
01:20,3,1
01:20,5,0
01:20,1,0
01:20,8,2
01:20,2,1
01:20,125,17
01:21,13,10
01:21,2,76
01:21,0,1
01:21,9,6
01:21,2,68
01:21,3,1
01:21,4,2
01:21,6,8
01:21,0,3
01:21,14,11
01:21,0,8
01:21,8,4
01:21,0,1
01:21,5,2
01:21,2,3
01:21,7,3
01:21,5,3
01:21,2,1
01:21,2,4
01:21,0,0
01:21,15,17
01:21,7,4
01:21,5,2
01:21,1,0
01:21,6,8
01:21,5,6
01:21,1,1
01:21,1,2
01:21,5,1
01:21,0,0
01:21,4,4
01:21,1,1
01:21,0,0
01:21,6,6
01:21,1,7
01:21,2,2
01:21,6,3
01:21,3,3
01:21,4,0
01:21,8,2
01:21,1,0
01:21,4,4
01:21,6,4
01:21,1,1
01:21,24,60
01:21,8,3
01:21,11,4
01:21,9,5
01:21,8,25
01:22,5,4
01:22,11,4
01:22,13,8
01:22,13,69
01:22,32,144
01:22,0,0
01:22,8,11
01:22,19,42
01:22,0,0
01:22,7,7
01:22,0,1
01:22,1,6
01:22,8,7
01:22,5,11
01:22,13,2
01:22,4,3
01:22,20,32
01:22,11,8
01:22,1,1
01:22,1,2
01:22,12,3
01:22,1,2
01:22,11,10
01:22,0,3
01:22,2,41
01:22,0,0
01:22,6,7
01:22,0,0
01:22,6,1
01:22,0,1
01:22,4,0
01:22,16,42
01:22,2,6
01:22,0,4
01:22,11,7
01:22,9,14
01:22,11,12
01:22,3,9
01:22,13,5
01:22,6,3
01:22,0,0
01:22,1,39
01:22,4,90
01:22,4,5
01:22,0,1
01:22,12,1
01:22,0,1
01:22,4,4
01:23,0,0
01:23,0,0
01:23,1,0
01:23,0,0
01:23,10,6
01:23,5,0
01:23,0,0
01:23,3,5
01:23,0,0
01:23,1,4
01:23,1,6
01:23,2,6
01:23,1,3
01:23,26,12
01:23,226,4
01:23,131,7
01:23,111,3
01:23,56,6
01:23,4,3
01:23,4,1
01:23,0,1
01:23,9,3
01:23,7,1
01:23,0,1
01:23,3,0
01:23,4,5
01:23,6,5
01:23,2,3
01:23,0,4
01:23,0,0
01:23,5,0
01:23,0,0
01:23,5,2
01:23,0,0
01:23,0,3
01:23,5,6
01:23,2,1
01:23,2,3
01:23,6,0
01:23,7,3
01:23,5,4
01:23,0,0
01:23,3,122
01:23,4,5
01:23,2,1
01:23,6,2
01:23,6,1
01:23,1,1
01:24,7,3
01:24,6,4
01:24,0,1
01:24,3,8
01:24,3,1
01:24,0,1
01:24,0,1
01:24,7,4
01:24,0,3
01:24,3,1
01:24,5,6
01:24,3,40
01:24,2,0
01:24,1,4
01:24,1,0
01:24,12,5
01:24,1,1
01:24,3,0
01:24,4,3
01:24,0,0
01:24,8,10
01:24,5,1
01:24,5,2
01:24,10,5
01:24,0,2
01:24,3,0
01:24,12,11
01:24,5,5
01:24,0,0
01:24,1,3
01:24,0,4
01:24,0,1
01:24,15,7
01:24,9,97
01:24,6,285
01:24,0,5
01:24,0,1
01:24,6,1
01:24,0,3
01:24,1,3
01:24,9,2
01:24,16,7
01:24,5,11
01:24,2,57
01:24,0,0
01:24,3,7
01:24,7,2
01:24,0,0
01:24,0,1
01:25,18,7
01:25,4,1
01:25,2,5
01:25,0,0
01:25,0,0
01:25,2,1
01:25,0,1
01:25,0,5
01:25,5,0
01:25,8,6
01:25,1,7
01:25,1,5
01:25,1,1
01:25,4,4
01:25,6,4
01:25,11,7
01:25,13,10
01:25,3,1
01:25,0,0
01:25,0,0
01:25,0,1
01:25,3,1
01:25,5,1
01:25,1,1
01:25,7,1
01:25,4,3
01:25,3,2
01:25,15,1
01:25,0,1
01:25,0,0
01:25,2,4
01:25,0,0
01:25,10,15
